Form	Word	Scribe	Page	Grammar	Vowel	Syllable
geopenod	openian	Hatt2	273.23	perf.f.nom.sg.	o	final
onpennad	pennian	Hatt2	277.08	perf.f.nom.sg.	a	final
tācnode	tācnian	Hatt2	279.21	pret.3.sg.ind.	o	mid
manode	manian	Hatt2	281.08	pret.3.sg.ind.	o	mid
gewundod	wundian	Hatt2	283.17	perf.n.nom.sg.	o	final
gehnescad	hnescian	Hatt1	289.03	perf.f.nom.sg.	a	final
watrode	wæterian	Hatt1	293.04	pret.3.sg.ind.	o	mid
forsēareden	sēarian	Hatt1	293.06	pret.3.pl.sub.	e	mid
forsuigode	swigian	Hatt1	295.05	pret.3.sg.ind.	o	mid
ðrēatode	þrēatian	Hatt1	295.14	pret.3.sg.ind.	o	mid
wandade	wandian	Hatt1	297.02	pret.3.sg.ind.	a	mid
āredod	redian	Hatt1	297.18	perf.n.nom.sg.	o	final
ðēnode	þegnian	Hatt1	301.02	pret.3.sg.sub.	o	mid
wilnode	wilnian	Hatt1	301.11	pret.3.sg.ind.	o	mid
gemedomode	medemian	Hatt1	301.13	pret.3.sg.ind.	o	mid
āfeorrod	feorrian	Hatt1	301.2	perf.f.nom.sg.	o	final
unmīdlod[e]	mīdlian	Hatt1	302.1	perf.m.nom.pl.	o	mid
andsuarode	swarian	Hatt1	304.11	pret.3.sg.ind.	o	mid
andswarade	swarian	Hatt1	304.13	pret.3.sg.ind.	a	mid
geweorðad	weorðian	Hatt1	304.17	perf.n.nom.sg.	a	final
tiohchode	teohhian	Hatt1	305.04	pret.3.sg.ind.	o	mid
teohchode	teohhian	Hatt1	305.05	pret.3.sg.ind.	o	mid
lādode	lādian	Hatt1	308.07	pret.3.sg.ind.	o	mid
getācnod	tācnian	Hatt1	309.08	perf.n.nom.sg.	o	final
gewun[d]ode	wundian	Hatt1	311.23	pret.3.sg.sub.	o	mid
talode	talian	Hatt1	313.04	pret.3.sg.sub.	o	mid
geðingode	þingian	Hatt1	313.17	pret.3.sg.ind.	o	mid
gehefegode	hefegian	Hatt1	317.1	perf.f.nom.pl.	o	mid
geleornoden	leornian	Hatt1	319.08	pret.3.pl.sub.	o	mid
wilnoden	wilnian	Hatt1	319.08	pret.3.pl.sub.	o	mid
geunrōtsode	rōtsian	Hatt1	321.2	perf.m.nom.pl.	o	mid
lufode	lufian	Hatt1	323.12	pret.3.sg.sub.	o	mid
gegearwod	gearwian	Hatt1	323.19	supine	o	final
gegearwod	gearwian	Hatt1	329.07	perf.n.nom.sg.	o	final
rēafoden	rēafian	Hatt1	329.08	pret.3.pl.sub.	o	mid
[lufode]	lufian	Hatt1	331.09	pret.3.sg.ind.	o	mid
berēafode	rēafian	Hatt1	333.16	pret.3.sg.ind.	o	mid
gefeormod	feormian	Hatt1	337.25	perf.m.nom.sg.	o	final
rēafode	rēafian	Hatt1	339.02	pret.3.sg.sub.	o	mid
āwyrtwalode	wyrtwalian	Hatt1	339.18	perf.m.nom.pl.	o	mid
forsēarod	sēarian	Hatt1	341.1	perf.m.nom.sg.	o	final
geleornod	leornian	Hatt1	341.15	supine	o	final
gerēafodu	rēafian	Hatt1	343.03	perf.n.nom.pl.	o	mid
gerēafodu	rēafian	Hatt1	343.08	perf.n.nom.pl.	o	mid
manode	manian	Hatt1	345.16	pret.3.sg.ind.	o	mid
gelaðode	laðian	Hatt1	345.19	perf.m.nom.pl.	o	mid
gegadrode	gadrian	Hatt1	347.06	perf.m.nom.pl.	o	mid
geearnoð	earnian	Hatt1	347.2	supine	o	final
gelaðode	laðian	Hatt1	351.08	perf.m.nom.pl.	o	mid
hatode	hatian	Hatt1	353.07	pret.1.sg.ind.	o	mid
gehālgode	hālgian	Hatt1	353.16	perf.f.nom.pl.	o	mid
sparodan	sparian	Hatt1	353.16	pret.3.pl.ind.	o	mid
geleahtrad	leahtrian	Hatt2	355.01	perf.m.nom.sg.	a	final
fultemodes	fultumian	Hatt2	355.02	pret.2.sg.ind.	o	mid
hatode	hatian	Hatt2	355.03	pret.3.sg.ind.	o	mid
geearnode	earnian	Hatt2	355.04	pret.2.sg.sub.	o	mid
lufode	lufian	Hatt2	355.14	pret.1.sg.ind.	o	mid
hatodon	hatian	Hatt2	355.14	pret.3.pl.ind.	o	mid
lufode	lufian	Hatt2	355.17	pret.3.sg.ind.	o	mid
monode	manian	Hatt2	357.03	pret.3.sg.ind.	o	mid
gefæstnod	fæstnian	Hatt2	361.08	perf.f.nom.sg.	o	final
gewanod	wanian	Hatt2	361.1	perf.f.nom.sg.	o	final
gefultumod	fultumian	Hatt2	361.13	perf.n.nom.sg.	o	final
tiolode	tilian	Hatt1	363.01	pret.3.sg.ind.	o	mid
antsacodon	sacian	Hatt1	363.05	pret.3.pl.ind.	o	mid
ābisgode	bisgian	Hatt1	363.09	perf.m.nom.pl.	o	mid
āðīestrod	þēostrian	Hatt1	365.18	perf.n.nom.sg.	o	final
getācnod	tācnian	Hatt1	367.07	perf.f.nom.sg.	o	final
geēacnod	ēacnian	Hatt1	367.17	perf.f.nom.sg.	o	final
geēacnode	ēacnian	Hatt1	367.21	perf.n.nom.pl.	o	mid
gewundad	wundian	Hatt1	371.07	perf.m.nom.sg.	a	final
ācunnad	cunnian	Hatt1	375.01	supine	a	final
forwandode	wandian	Hatt1	379.08	pret.3.sg.ind.	o	mid
wandade	wandian	Hatt1	379.11	pret.3.sg.sub.	a	mid
forwandode	wandian	Hatt1	379.15	pret.1.sg.ind.	o	mid
gemanod	manian	Hatt1	379.16	perf.m.nom.sg.	o	final
swīgode	swīgian	Hatt1	379.24	pret.1.sg.ind.	o	mid
gemanigfalðod	fealdian	Hatt1	381.02	perf.m.nom.sg.	o	final
unādrūgodne	drūgian	Hatt1	383.32	perf.m.acc.sg.	o	mid
unāstīðodne	stīðian	Hatt1	383.32	perf.m.acc.sg.	o	mid
geēacnodan	ēacnian	Hatt1	383.34	perf.n.acc.pl.weak	o	mid
fullgearwode	gearwian	Hatt1	385.04	perf.m.nom.pl.	o	mid
fullgearwode	gearwian	Hatt1	385.07	perf.m.nom.pl.	o	mid
fortrūwodum	trūwian	Hatt1	385.16	perf.m.dat.pl.weak	o	mid
tiohchode	teohhian	Hatt1	385.34	pret.3.sg.ind.	o	mid
gewilnode	wilnian	Hatt1	387.03	perf.f.acc.sg.	o	mid
getiohchod	teohhian	Hatt1	387.18	perf.n.acc.pl.	o	final
ðrēade	þrēagan	Hatt1	387.25	pret.3.sg.ind.	contracted	mid
blīðsodon	blīðsian	Hatt1	387.28	pret.3.pl.ind.	o	mid
ðrēade	þrēagan	Hatt1	387.29	pret.3.sg.ind.	contracted	mid
fægnodan	fægnian	Hatt1	387.32	pret.3.pl.ind.	o	mid
fægnodan	fægnian	Hatt1	387.33	pret.3.pl.ind.	o	mid
geārod	ārian	Hatt1	391.08	perf.m.nom.sg.	o	final
geniðrades	niðerian	Hatt1	391.09	pret.2.sg.ind.	a	mid
ðrōwude	þrōwian	Hatt1	391.14	pret.3.sg.ind.	u	mid
getiochod	teohhian	Hatt1	391.32	supine	o	final
gebrīdlode	brīdlian	Hatt1	391.33	pret.3.sg.sub.	o	mid
wilnode	wilnian	Hatt1	393.1	pret.3.sg.ind.	o	mid
geliornode	leornian	Hatt1	393.18	pret.3.sg.ind.	o	mid
gesomnode	samnian	Hatt1	397.09	perf.m.nom.pl.	o	mid
egesode	egesian	Hatt1	397.2	pret.3.sg.ind.	o	mid
getācnode	tācnian	Hatt1	397.32	pret.3.sg.ind.	o	mid
getācnode	tācnian	Hatt1	397.35	pret.3.sg.ind.	o	mid
gefæsðnod	fæstnian	Hatt1	399.07	perf.n.nom.sg.	o	final
gefriðode	friðian	Hatt1	399.28	perf.m.nom.pl.	o	mid
manode	manian	Hatt1	399.34	pret.3.sg.ind.	o	mid
geǣmetgade	ǣmettigan	Hatt1	401.07	perf.m.nom.pl.	a	mid
manode	manian	Hatt1	401.11	pret.3.sg.ind.	o	mid
